reward_group_id,reward_type_1,reward_id_1,reward_num_1,reward_type_2,reward_id_2,reward_num_2,reward_type_3,reward_id_3,reward_num_3,reward_type_4,reward_id_4,reward_num_4,reward_type_5,reward_id_5,reward_num_5
"110010011","4","101011","1","4","101281","1","0","0","0","0","0","0","0","0","0"
"110010021","4","101251","1","4","101521","1","0","0","0","0","0","0","0","0","0"
"110010031","4","101161","1","4","101431","1","0","0","0","0","0","0","0","0","0"
"110010041","4","101371","1","4","101551","1","0","0","0","0","0","0","0","0","0"
"110010051","4","101161","1","4","101611","1","0","0","0","0","0","0","0","0","0"
"110010061","4","101071","1","4","101401","1","0","0","0","0","0","0","0","0","0"
"110010071","4","101251","1","4","101581","1","0","0","0","0","0","0","0","0","0"
"110010081","4","101281","1","4","101611","1","0","0","0","0","0","0","0","0","0"
"110010091","4","101131","1","4","101551","1","0","0","0","0","0","0","0","0","0"
"110010101","4","101011","1","4","101611","1","0","0","0","0","0","0","0","0","0"
"110020011","4","101191","1","4","101011","1","0","0","0","0","0","0","0","0","0"
"110020021","4","101251","1","4","101371","1","0","0","0","0","0","0","0","0","0"
"110020031","4","101401","1","4","101551","1","0","0","0","0","0","0","0","0","0"
"110020041","4","101521","1","4","101611","1","0","0","0","0","0","0","0","0","0"
"110020051","4","101281","1","4","101581","1","0","0","0","0","0","0","0","0","0"
"110020061","4","101251","1","4","101611","1","0","0","0","0","0","0","0","0","0"
"110020071","4","101071","1","4","101431","1","0","0","0","0","0","0","0","0","0"
"110020081","4","101131","1","4","101581","1","0","0","0","0","0","0","0","0","0"
"110020091","4","102163","1","4","122371","1","0","0","0","0","0","0","0","0","0"
"110020101","4","102013","1","4","102581","1","0","0","0","0","0","0","0","0","0"
"110020111","4","102252","1","4","102551","1","0","0","0","0","0","0","0","0","0"
"110020121","4","102222","1","4","102612","1","0","0","0","0","0","0","0","0","0"
"110030011","4","122493","1","4","102551","1","0","0","0","0","0","0","0","0","0"
"110030021","4","122491","1","4","102612","1","0","0","0","0","0","0","0","0","0"
"110030031","4","102163","1","4","102252","1","0","0","0","0","0","0","0","0","0"
"110030041","4","102222","1","4","102192","1","0","0","0","0","0","0","0","0","0"
"110030051","4","102013","1","4","102131","1","0","0","0","0","0","0","0","0","0"
"110030061","4","102014","1","4","102101","1","0","0","0","0","0","0","0","0","0"
"110030071","4","102041","1","4","122282","1","0","0","0","0","0","0","0","0","0"
"110030081","4","122312","1","4","122342","1","0","0","0","0","0","0","0","0","0"
"110030091","4","122372","1","4","122401","1","0","0","0","0","0","0","0","0","0"
"110030101","4","122432","1","4","122521","1","0","0","0","0","0","0","0","0","0"
"110030111","4","102552","1","4","102582","1","0","0","0","0","0","0","0","0","0"
"110030121","4","122614","1","4","122613","1","0","0","0","0","0","0","0","0","0"
"110040011","4","102101","1","4","102252","1","0","0","0","0","0","0","0","0","0"
"110040021","4","102014","1","4","102192","1","0","0","0","0","0","0","0","0","0"
"110040031","4","113071","1","4","102013","1","0","0","0","0","0","0","0","0","0"
"110040041","4","113011","1","4","102163","1","0","0","0","0","0","0","0","0","0"
"110040051","4","123161","1","4","123251","1","0","0","0","0","0","0","0","0","0"
"110040061","4","113221","1","4","113191","1","0","0","0","0","0","0","0","0","0"
"110040071","4","123281","1","4","102552","1","0","0","0","0","0","0","0","0","0"
"110040081","4","123311","1","4","102582","1","0","0","0","0","0","0","0","0","0"
"110040091","4","123341","1","4","122614","1","0","0","0","0","0","0","0","0","0"
"110040101","4","113431","1","4","113521","1","0","0","0","0","0","0","0","0","0"
"110040111","4","113551","1","4","113581","1","0","0","0","0","0","0","0","0","0"
"110040121","4","113611","1","4","123612","1","0","0","0","0","0","0","0","0","0"
"110040131","4","123192","1","4","113252","1","0","0","0","0","0","0","0","0","0"
"110050011","4","123161","1","4","113191","1","0","0","0","0","0","0","0","0","0"
"110050021","4","113221","1","4","113071","1","0","0","0","0","0","0","0","0","0"
"110050031","4","123192","1","4","123251","1","0","0","0","0","0","0","0","0","0"
"110050041","4","113012","1","4","113101","1","0","0","0","0","0","0","0","0","0"
